Timestamp,Event_Type,Activation_Operation,Network,Protocol,External_ID,Bandwidth_bps,Raw_Log
2026-09-07 03:00:57,started,,96.27.30.136/32,UDP,kentik_63778,0,"2026-09-07 03:00:57,723 | INFO  | [DFC00701] Protected object (null): attack started on network 96.27.30.136/32 protocol UDP external ID kentik_63778 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:07:13,started,,24.214.255.174/32,UDP,kentik_63779,0,"2026-09-07 03:07:13,520 | INFO  | [DFC00701] Protected object (null): attack started on network 24.214.255.174/32 protocol UDP external ID kentik_63779 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:07:14,started,,24.214.255.174/32,UDP,kentik_63779,0,"2026-09-07 03:07:14,435 | INFO  | [DFC00701] Protected object (null): attack started on network 24.214.255.174/32 protocol UDP external ID kentik_63779 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:13:29,ended,,24.96.206.243/32,N,kentik_63774,,"2026-09-07 03:13:29,437 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.96.206.243/32 protocol N/A external ID kentik_63774 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:13:30,ended,,24.96.206.243/32,N,kentik_63774,,"2026-09-07 03:13:30,281 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.96.206.243/32 protocol N/A external ID kentik_63774 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:24:44,ended,,24.96.206.243/32,N,kentik_63775,,"2026-09-07 03:24:44,727 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.96.206.243/32 protocol N/A external ID kentik_63775 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:24:45,ended,,24.96.206.243/32,N,kentik_63775,,"2026-09-07 03:24:45,578 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.96.206.243/32 protocol N/A external ID kentik_63775 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:36:00,ended,,24.96.250.8/32,N,kentik_63776,,"2026-09-07 03:36:00,940 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.96.250.8/32 protocol N/A external ID kentik_63776 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:41:15,ended,,24.214.11.170/32,N,kentik_63777,,"2026-09-07 03:41:15,322 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.11.170/32 protocol N/A external ID kentik_63777 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:41:15,started,,67.149.121.151/32,UDP,kentik_63780,0,"2026-09-07 03:41:15,689 | INFO  | [DFC00701] Protected object (null): attack started on network 67.149.121.151/32 protocol UDP external ID kentik_63780 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:41:16,ended,,24.214.11.170/32,N,kentik_63777,,"2026-09-07 03:41:16,484 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.11.170/32 protocol N/A external ID kentik_63777 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:41:31,ended,,96.27.30.136/32,N,kentik_63778,,"2026-09-07 03:41:31,196 | INFO  | [DFC00703] Protected object (null): attack ended on network 96.27.30.136/32 protocol N/A external ID kentik_63778 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:51:30,started,,24.42.171.147/32,UDP,kentik_63781,0,"2026-09-07 03:51:30,642 | INFO  | [DFC00701] Protected object (null): attack started on network 24.42.171.147/32 protocol UDP external ID kentik_63781 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:51:31,started,,24.42.171.147/32,UDP,kentik_63781,0,"2026-09-07 03:51:31,622 | INFO  | [DFC00701] Protected object (null): attack started on network 24.42.171.147/32 protocol UDP external ID kentik_63781 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 03:57:46,ended,,24.214.255.174/32,N,kentik_63779,,"2026-09-07 03:57:46,538 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.255.174/32 protocol N/A external ID kentik_63779 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 03:57:47,ended,,24.214.255.174/32,N,kentik_63779,,"2026-09-07 03:57:47,425 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.214.255.174/32 protocol N/A external ID kentik_63779 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 04:11:01,started,,96.27.176.203/32,UDP,kentik_63782,0,"2026-09-07 04:11:01,971 | INFO  | [DFC00701] Protected object (null): attack started on network 96.27.176.203/32 protocol UDP external ID kentik_63782 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 04:26:17,started,,69.14.109.14/32,UDP,kentik_63783,0,"2026-09-07 04:26:17,265 | INFO  | [DFC00701] Protected object (null): attack started on network 69.14.109.14/32 protocol UDP external ID kentik_63783 bandwidth 0(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 04:28:33,ended,,67.149.121.151/32,N,kentik_63780,,"2026-09-07 04:28:33,155 | INFO  | [DFC00703] Protected object (null): attack ended on network 67.149.121.151/32 protocol N/A external ID kentik_63780 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 04:40:48,ended,,24.42.171.147/32,N,kentik_63781,,"2026-09-07 04:40:48,991 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.42.171.147/32 protocol N/A external ID kentik_63781 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 04:40:49,ended,,24.42.171.147/32,N,kentik_63781,,"2026-09-07 04:40:49,929 | INFO  | [DFC00703] Protected object (null): attack ended on network 24.42.171.147/32 protocol N/A external ID kentik_63781 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 04:53:05,ended,,96.27.176.203/32,N,kentik_63782,,"2026-09-07 04:53:05,192 | INFO  | [DFC00703] Protected object (null): attack ended on network 96.27.176.203/32 protocol N/A external ID kentik_63782 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
2026-09-07 05:18:36,started,,24.192.1.184/32,UDP,kentik_63784,173616640,"2026-09-07 05:18:36,599 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.1.184/32 protocol UDP external ID kentik_63784 bandwidth 173616640(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 05:18:37,started,,24.192.1.184/32,UDP,kentik_63784,173616640,"2026-09-07 05:18:37,568 | INFO  | [DFC00701] Protected object (null): attack started on network 24.192.1.184/32 protocol UDP external ID kentik_63784 bandwidth 173616640(bps) detection source type EXTERNAL_DETECTOR detection source name N/A  source network N/A."
2026-09-07 05:24:52,ended,,69.14.109.14/32,N,kentik_63783,,"2026-09-07 05:24:52,460 | INFO  | [DFC00703] Protected object (null): attack ended on network 69.14.109.14/32 protocol N/A external ID kentik_63783 detection source EXTERNAL_DETECTOR detection source name N/A source network N/A."
